Player           ,Tm ,Pos,MP  ,PTS ,eFG%              ,AST,TRB,STL,BLK,Tm_W,Tm_L
Dion Glover      ,ATL,SG ,14.9,6.5 ,0.421             ,0.9,1.3,0.5,0.1,25.0,57.0
Sherman Douglas  ,NJN,PG ,15.5,6.0 ,0.528             ,1.7,1.5,0.9,0.0,26.0,56.0
Popeye Jones     ,DEN,PF ,8.3 ,2.6 ,0.433             ,0.5,2.6,0.1,0.2,40.0,42.0
Reggie Jordan    ,WAS,PG ,6.8 ,1.1 ,0.321             ,0.9,1.1,0.3,0.1,19.0,63.0
Jermaine Jackson ,DET,SG ,10.4,1.0 ,0.091             ,0.6,1.6,0.4,0.0,32.0,50.0
Fred Hoiberg     ,CHI,SG ,27.3,9.0 ,0.457             ,2.7,3.5,1.3,0.1,15.0,67.0
Chauncey Billups ,DEN,SG ,23.5,8.6 ,0.371             ,3.0,2.6,0.8,0.2,40.0,42.0
Cal Bowdler      ,ATL,SF ,9.2 ,2.7 ,0.426             ,0.3,1.8,0.3,0.2,25.0,57.0
Marcus Brown     ,DET,SG ,7.5 ,1.7 ,0.286             ,0.5,1.2,0.0,0.0,32.0,50.0
Cory Alexander   ,DEN,PG ,11.3,2.8 ,0.332             ,2.0,1.4,0.8,0.1,40.0,42.0
B.J. Armstrong   ,CHI,PG ,21.6,7.4 ,0.481             ,2.9,1.7,0.3,0.0,15.0,67.0
Mark Davis       ,GSW,SF ,20.2,6.2 ,0.409             ,1.7,3.7,1.1,0.2,17.0,65.0
Ryan Stack       ,CLE,PF ,7.9 ,2.1 ,0.333             ,0.2,1.8,0.2,0.4,30.0,52.0
Joe Stephens     ,VAN,SF ,13.9,3.2 ,0.373             ,0.8,2.8,0.5,0.2,23.0,59.0
Roy Rogers       ,DEN,PF ,8.9 ,2.2 ,0.398             ,0.2,2.0,0.1,1.0,40.0,42.0
Khalid Reeves    ,CHI,PG ,16.0,3.7 ,0.25              ,4.3,1.3,0.7,0.0,15.0,67.0
Doug West        ,VAN,SG ,15.3,4.0 ,0.407             ,1.1,1.9,0.3,0.2,23.0,59.0
Dedric Willoughby,CHI,PG ,20.3,7.6 ,0.422             ,2.6,2.0,0.9,0.1,15.0,67.0
Loy Vaught       ,DET,PF ,6.8 ,1.7 ,0.36              ,0.3,2.1,0.1,0.1,32.0,50.0
Jeff McInnis     ,LAC,PG ,23.9,7.2 ,0.449             ,3.6,2.9,0.6,0.1,31.0,51.0
Chris Mills      ,GSW,SF ,32.5,16.1,0.435             ,2.4,6.2,0.9,0.2,17.0,65.0
Donny Marshall   ,CLE,SF ,6.5 ,1.8 ,0.273             ,0.0,0.2,0.3,0.0,30.0,52.0
Trajan Langdon   ,CLE,SG ,14.5,4.9 ,0.475             ,1.1,1.5,0.5,0.0,30.0,52.0
Rusty LaRue      ,CHI,PG ,32.3,9.3 ,0.3720000000000001,2.8,2.5,1.8,0.0,15.0,67.0
Tim Legler       ,GSW,SG ,12.3,3.3 ,0.404             ,1.0,1.0,0.2,0.0,17.0,65.0
Grant Long       ,VAN,PF ,21.9,4.8 ,0.443             ,1.0,5.6,1.1,0.2,23.0,59.0
Sam Mack         ,GSW,SF ,14.5,5.0 ,0.389             ,1.0,1.7,0.8,0.0,17.0,65.0
Brent Price      ,VAN,PG ,10.3,3.4 ,0.45              ,1.7,0.9,0.4,0.0,23.0,59.0
Laron Profit     ,WAS,SG ,6.8 ,1.5 ,0.381             ,0.8,0.8,0.2,0.1,19.0,63.0
Eric Murdock     ,LAC,PG ,17.3,5.6 ,0.424             ,2.7,1.9,1.2,0.1,31.0,51.0
