Player           ,Tm ,Pos,MP  ,PTS ,eFG%              ,AST,TRB ,STL,BLK,Tm_W,Tm_L
Darvin Ham       ,MIL,SF ,22.6,5.1 ,0.555             ,1.2,4.9 ,0.8,0.8,52.0,30.0
Sean Elliott     ,SAS,SF ,20.6,6.0 ,0.42              ,1.5,2.5 ,0.6,0.1,58.0,24.0
Jeff Foster      ,IND,C  ,4.5 ,2.3 ,0.565             ,0.3,1.7 ,0.3,0.1,41.0,41.0
Kevin Johnson    ,PHO,PG ,18.8,6.7 ,0.589             ,4.0,2.7 ,0.3,0.0,51.0,31.0
Jumaine Jones    ,PHI,SF ,4.2 ,1.7 ,0.397             ,0.2,1.2 ,0.2,0.2,56.0,26.0
Steve Kerr       ,SAS,PG ,8.4 ,2.8 ,0.541             ,0.4,0.6 ,0.1,0.0,58.0,24.0
Matt Harpring    ,ORL,SF ,15.8,4.0 ,0.294             ,2.0,3.0 ,1.3,0.3,43.0,39.0
Rick Hughes      ,DAL,PF ,10.7,3.9 ,0.486             ,0.4,2.3 ,0.1,0.0,53.0,29.0
Corie Blount     ,PHO,PF ,11.7,2.8 ,0.494             ,0.3,3.0 ,0.4,0.2,51.0,31.0
Lazaro Borrell   ,SEA,SF ,9.8 ,3.6 ,0.444             ,0.6,2.4 ,0.4,0.2,44.0,38.0
Dee Brown        ,TOR,PG ,17.7,6.9 ,0.49              ,2.3,1.4 ,0.6,0.1,47.0,35.0
Jonathan Bender  ,IND,SF ,5.4 ,2.7 ,0.343             ,0.1,0.9 ,0.0,0.2,41.0,41.0
Rafer Alston     ,MIL,PG ,13.4,2.2 ,0.3               ,2.6,0.9 ,0.4,0.0,52.0,30.0
Toby Bailey      ,PHO,SG ,9.8 ,3.5 ,0.421             ,0.7,1.6 ,0.3,0.1,51.0,31.0
Charles Barkley  ,HOU,PF ,31.0,14.5,0.491             ,3.2,10.5,0.7,0.2,45.0,37.0
Rick Brunson     ,NYK,PG ,7.8 ,1.9 ,0.429             ,1.3,0.7 ,0.2,0.0,48.0,34.0
Derrick Dial     ,SAS,SG ,11.9,5.0 ,0.402             ,0.6,3.3 ,0.1,0.1,58.0,24.0
Rodney Buford    ,MIA,SG ,11.4,4.3 ,0.434             ,0.6,1.4 ,0.3,0.2,50.0,32.0
John Celestand   ,LAL,PG ,11.6,2.3 ,0.356             ,1.3,0.7 ,0.4,0.0,56.0,26.0
Vladimir Stepania,SEA,C  ,6.7 ,2.5 ,0.3670000000000001,0.1,1.6 ,0.3,0.4,44.0,38.0
Derek Strong     ,ORL,PF ,7.4 ,2.7 ,0.448             ,0.2,2.2 ,0.3,0.1,43.0,39.0
J.R. Reid        ,MIL,PF ,17.7,4.4 ,0.421             ,0.5,3.4 ,0.6,0.1,52.0,30.0
Stanley Roberts  ,PHI,C  ,10.2,2.0 ,0.313             ,0.6,3.0 ,0.2,0.2,56.0,26.0
Ryan Robertson   ,SAC,SG ,25.0,5.0 ,0.333             ,0.0,0.0 ,0.0,0.0,55.0,27.0
Dennis Rodman    ,DAL,PF ,32.4,2.8 ,0.387             ,1.2,14.3,0.2,0.1,53.0,29.0
Shammond Williams,SEA,PG ,12.0,5.2 ,0.4270000000000001,1.8,1.2 ,0.4,0.0,44.0,38.0
Robert Traylor   ,MIL,PF ,10.2,3.6 ,0.475             ,0.5,2.6 ,0.6,0.6,52.0,30.0
Gary Trent       ,DAL,SF ,27.4,13.7,0.493             ,2.0,4.7 ,0.7,0.3,53.0,29.0
Fred Vinson      ,SEA,SG ,5.0 ,1.6 ,0.353             ,0.0,0.1 ,0.4,0.0,44.0,38.0
Rex Walters      ,MIA,PG ,11.8,2.8 ,0.445             ,2.0,1.1 ,0.2,0.0,50.0,32.0
Derrick McKey    ,IND,SF ,19.8,4.3 ,0.444             ,1.1,4.2 ,0.9,0.4,41.0,41.0
Sean Marks       ,TOR,PF ,2.4 ,1.6 ,0.333             ,0.0,0.4 ,0.2,0.2,47.0,35.0
Tyronn Lue       ,LAL,PG ,18.3,6.0 ,0.5379999999999999,2.1,1.5 ,0.4,0.0,56.0,26.0
Don MacLean      ,PHO,PF ,8.9 ,2.6 ,0.388             ,0.5,1.4 ,0.1,0.1,51.0,31.0
Anthony Parker   ,ORL,SG ,11.6,3.6 ,0.43              ,0.6,1.7 ,0.5,0.3,43.0,39.0
Chuck Person     ,SEA,SF ,9.2 ,2.8 ,0.398             ,0.6,1.4 ,0.1,0.1,44.0,38.0
Robert Pack      ,DAL,PG ,22.9,8.9 ,0.426             ,5.8,1.4 ,1.1,0.1,53.0,29.0
Moochie Norris   ,HOU,PG ,16.7,6.9 ,0.472             ,3.1,2.3 ,0.8,0.0,45.0,37.0
