Season ,Age,Tm ,Lg ,Pos,G ,GS,MP  ,FG  ,FGA ,FG% ,3P ,3PA,3P% ,2P  ,2PA ,2P% ,eFG%,FT  ,FTA ,FT% ,ORB,DRB,TRB ,AST,STL,BLK,TOV,PF ,PTS
2005-06,21 ,CLE,NBA,SF ,13,13,46.5,11.2,23.6,.476,1.6,4.8,.333,9.6 ,18.8,.512,.510,6.7 ,9.1 ,.737,1.7,6.4,8.1 ,5.8,1.4,0.7,5.0,3.4,30.8
2006-07,22 ,CLE,NBA,SF ,20,20,44.7,8.3 ,20.0,.416,1.1,3.8,.280,7.3 ,16.2,.448,.442,7.4 ,9.8 ,.755,1.3,6.8,8.1 ,8.0,1.7,0.5,3.3,2.0,25.1
2007-08,23 ,CLE,NBA,SF ,13,13,42.5,8.7 ,21.2,.411,1.4,5.4,.257,7.3 ,15.8,.463,.444,9.4 ,12.8,.731,1.2,6.6,7.8 ,7.6,1.8,1.3,4.2,2.5,28.2
2008-09,24 ,CLE,NBA,SF ,14,14,41.4,11.4,22.3,.510,1.9,5.8,.333,9.4 ,16.5,.571,.553,10.6,14.2,.749,1.4,7.8,9.1 ,7.3,1.6,0.9,2.7,2.1,35.3
2009-10,25 ,CLE,NBA,SF ,11,11,41.8,9.6 ,19.2,.502,1.8,4.5,.400,7.8 ,14.6,.534,.550,8.0 ,10.9,.733,1.4,7.9,9.3 ,7.6,1.7,1.8,3.8,2.1,29.1
2010-11,26 ,MIA,NBA,SF ,21,21,43.9,8.3 ,17.8,.466,1.4,4.0,.353,6.9 ,13.7,.500,.507,5.7 ,7.4 ,.763,1.6,6.8,8.4 ,5.9,1.7,1.2,3.1,2.7,23.7
2011-12,27 ,MIA,NBA,SF ,23,23,42.7,10.9,21.8,.500,1.0,3.7,.259,10.0,18.1,.549,.522,7.5 ,10.2,.739,2.3,7.4,9.7 ,5.6,1.9,0.7,3.5,2.0,30.3
2012-13,28 ,MIA,NBA,PF ,23,23,41.7,9.2 ,18.8,.491,1.6,4.2,.375,7.7 ,14.6,.524,.532,5.9 ,7.6 ,.777,1.6,6.8,8.4 ,6.6,1.8,0.8,3.0,1.9,25.9
2013-14,29 ,MIA,NBA,PF ,20,20,38.2,9.6 ,17.0,.565,1.8,4.3,.407,7.9 ,12.7,.618,.616,6.5 ,8.0 ,.806,0.7,6.4,7.1 ,4.8,1.8,0.6,3.1,2.3,27.4
2014-15,30 ,CLE,NBA,SF ,20,20,42.2,11.4,27.2,.417,1.3,5.5,.227,10.1,21.7,.465,.440,6.1 ,8.4 ,.731,1.9,9.5,11.3,8.5,1.7,1.1,4.1,2.9,30.1
2015-16,31 ,CLE,NBA,SF ,21,21,39.1,10.4,19.9,.525,1.5,4.5,.340,8.9 ,15.4,.579,.564,3.9 ,5.9 ,.661,2.0,7.5,9.5 ,7.6,2.3,1.3,3.6,2.6,26.3
2016-17,32 ,CLE,NBA,SF ,18,18,41.3,12.1,21.3,.565,2.4,5.9,.411,9.6 ,15.4,.625,.622,6.3 ,9.0 ,.698,1.1,8.1,9.1 ,7.8,1.9,1.3,4.0,2.4,32.8
2017-18,33 ,CLE,NBA,PF ,22,22,41.9,12.5,23.2,.539,1.8,5.2,.342,10.7,18.0,.596,.577,7.2 ,9.7 ,.746,1.4,7.7,9.1 ,9.0,1.4,1.0,4.3,2.4,34.0
2019-20,35 ,LAL,NBA,PG ,21,21,36.3,10.2,18.2,.560,2.1,5.7,.370,8.1 ,12.5,.646,.618,5.1 ,7.1 ,.720,1.3,9.4,10.8,8.8,1.2,0.9,4.0,1.9,27.6
2020-21,36 ,LAL,NBA,PG ,6 ,6 ,37.3,9.0 ,19.0,.474,3.0,8.0,.375,6.0 ,11.0,.545,.553,2.3 ,3.8 ,.609,1.2,6.0,7.2 ,8.0,1.5,0.3,4.2,1.2,23.3

