Season ,Age,Tm ,Lg ,Pos,G ,GS,MP  ,FG  ,FGA ,FG% ,3P ,3PA,3P%  ,2P  ,2PA ,2P% ,eFG%,FT  ,FTA ,FT% ,ORB,DRB,TRB,AST,STL,BLK,TOV,PF ,PTS
1984-85,21 ,CHI,NBA,SG ,4 ,4 ,42.8,8.5 ,19.5,.436,0.3,2.0,.125 ,8.3 ,17.5,.471,.442,12.0,14.5,.828,1.8,4.0,5.8,8.5,2.8,1.0,3.8,3.8,29.3
1985-86,22 ,CHI,NBA,SG ,3 ,3 ,45.0,16.0,31.7,.505,0.3,0.3,1.000,15.7,31.3,.500,.511,11.3,13.0,.872,1.7,4.7,6.3,5.7,2.3,1.3,4.7,4.3,43.7
1986-87,23 ,CHI,NBA,SG ,3 ,3 ,42.7,11.7,28.0,.417,0.7,1.7,.400 ,11.0,26.3,.418,.429,11.7,13.0,.897,2.3,4.7,7.0,6.0,2.0,2.3,2.7,3.7,35.7
1987-88,24 ,CHI,NBA,SG ,10,10,42.7,13.8,26.0,.531,0.1,0.3,.333 ,13.7,25.7,.533,.533,8.6 ,9.9 ,.869,2.3,4.8,7.1,4.7,2.4,1.1,3.9,3.8,36.3
1988-89,25 ,CHI,NBA,SG ,17,17,42.2,11.7,22.9,.510,0.6,2.1,.286 ,11.1,20.9,.532,.523,10.8,13.5,.799,1.5,5.5,7.0,7.6,2.5,0.8,4.0,3.8,34.8
1989-90,26 ,CHI,NBA,SG ,16,16,42.1,13.7,26.6,.514,1.0,3.1,.320 ,12.7,23.5,.540,.533,8.3 ,9.9 ,.836,1.5,5.7,7.2,6.8,2.8,0.9,3.5,3.4,36.7
1990-91,27 ,CHI,NBA,SG ,17,17,40.5,11.6,22.1,.524,0.6,1.5,.385 ,11.0,20.6,.534,.537,7.4 ,8.7 ,.845,1.1,5.3,6.4,8.4,2.4,1.4,2.5,3.1,31.1
1991-92,28 ,CHI,NBA,SG ,22,22,41.8,13.2,26.4,.499,0.8,2.0,.386 ,12.4,24.4,.508,.514,7.4 ,8.6 ,.857,1.7,4.5,6.2,5.8,2.0,0.7,3.7,2.8,34.5
1992-93,29 ,CHI,NBA,SG ,19,19,41.2,13.2,27.8,.475,1.5,3.8,.389 ,11.7,24.0,.489,.502,7.2 ,8.9 ,.805,1.7,5.1,6.7,6.0,2.1,0.9,2.4,3.1,35.1
1994-95,31 ,CHI,NBA,SG ,10,10,42.0,12.0,24.8,.484,1.1,3.0,.367 ,10.9,21.8,.500,.506,6.4 ,7.9 ,.810,2.0,4.5,6.5,4.5,2.3,1.4,4.1,3.0,31.5
1995-96,32 ,CHI,NBA,SG ,18,18,40.7,10.4,22.6,.459,1.4,3.4,.403 ,9.0 ,19.2,.470,.490,8.5 ,10.4,.818,1.7,3.2,4.9,4.1,1.8,0.3,2.3,2.7,30.7
1996-97,33 ,CHI,NBA,SG ,19,19,42.3,11.9,26.2,.456,0.7,3.5,.194 ,11.3,22.7,.497,.469,6.5 ,7.8 ,.831,2.2,5.7,7.9,4.8,1.6,0.9,2.6,2.4,31.1
1997-98,34 ,CHI,NBA,SG ,21,21,41.5,11.6,25.0,.462,0.6,2.0,.302 ,11.0,23.0,.476,.474,8.6 ,10.6,.812,1.6,3.5,5.1,3.5,1.5,0.6,2.1,2.2,32.4



